"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"Gaia DR2 3216371269898530688",86.1986745898209,-2.32507914058561,"kounkel2020","Gaia DR3 3216371269898530688",86.19867922851,-2.32508292704,0,0,99,1636148068921376768,3216371269898530688,1049293222,0.0905,0.0803,2.7925,0.1181,23.6468,3.468,1.894,0.109,-2.905,0.096,-0.039,-0.1567,-0.2145,0.0687,-0.2386,0.1962,-0.6785,-0.0461,0.385,-0.156,433,0,433,0,-0.6228,461.22,0,0,95,FALSE,1.2865,1.2865,0.022,-0.067,-0.097,-0.005,0.011,0.125,49,19,0.163696,50,0.03356,6.869,0,0,0.978,0,429,1257.86864,1.34887,932.533,17.938278,0.002991,43,248.315,7.07886,35.0783,19.351036,0.031077,49,1549.55,7.17167,216.065,16.772383,0.006288,1.429,0,2,0,3,0,2.578653,1.412758,1.165895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999019,3451.8,3442.8,3460.5,4.8744,4.8597,4.8884,-0.1848,-0.218,-0.149,0.35810205,333.9553,323.2128,343.8006,0.7405,0.7048,0.773,0.4829,0.4594,0.5043,0.3048,0.2906,0.3178,"MARCS",86.19867080379,-2.32507001587,1.767594,1.589147,-0.162,0.021546,207.292680430209,-15.8698448749447,85.7838048394586,-25.7087416153552,3.45175507060337,0.334137595256677,0.105482906979301,0.0998516716695121,0.165842420719872,-0.0419976280797327,2.83449762807973
"Gaia DR2 4259941635845369728",280.960229874503,-1.67136966986928,"kounkel2020","Gaia DR3 4259941635845369728",280.96023436612,-1.67136618483,0,0,33,1636148068921376768,4259941635845369728,290914473,0.0728,0.077,1.4741,0.0934,15.7775,5.253,-0.926,0.095,-5.171,0.094,0.1317,-0.0065,-0.043,-0.1336,-0.3445,-0.0132,0.0391,-0.2868,0.0917,0.173,205,0,204,1,0.877,252.74,0.153,0.51452,95,FALSE,1.2977,1.2977,0.0258,-0.059,0.041,0.191,-0.162,0.148,23,15,0.141875,25,0.1092,88.16,0,24,1.043,0,205,2524.5366,7.17415,351.893,17.181913,0.004137,4,647.863,62.4837,10.3685,18.309834,0.104752,4,4657.36,130.683,35.6386,15.577547,0.030699,2.101,0,4,0,4,0,2.732286,1.12792,1.604366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999937,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",280.96023848135,-1.67134320149,1.520489,1.4997,0.18,0.020461,30.5781675827753,0.927310596878363,281.771535070834,21.3211515372827,-5.02311607193909,-1.53786277925803,0.100651818266008,0.0879216212301988,0.138351187619868,-0.0499024063223927,1.52400240632239
"SPICY 116474",335.583307,58.764021,"kuhn2021","Gaia DR3 2200331090274391680",335.58329866859,58.76404229307,0,0,133,1636148068921376768,2200331090274391680,1090082918,0.1561,0.1546,0.61,0.195,3.1287,4.197,-3.411,0.22,-2.445,0.199,-0.1174,0.126,-0.061,-0.052,0.1629,-0.1311,-0.0983,-0.3525,0.1556,-0.2099,341,0,341,0,-1.3319,332.95,0,0,95,FALSE,1.247,1.247,0.0455,0.016,0.1,0.128,-0.135,0.036,39,26,0.326708,45,0.02053,45.22,1,0,0.948,0,363,491.22388,1.11324,441.256,18.959167,0.003694,42,98.6608,5.1378,19.2029,20.35318,0.056609,43,603.421,6.20179,97.2979,17.796343,0.011782,1.429,0,1,0,2,0,2.556837,1.394012,1.162825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999995,3745.9,3710.8,3791.1,4.4257,4.406,4.4649,-1.2828,-1.3602,-1.1727,1.6393442,528.7012,498.8334,561.0586,2.8463,2.7701,2.9447,1.8963,1.8425,1.9647,1.0466,1.0178,1.0833,"PHOENIX",335.58332790059,58.76405316113,3.536194,3.209403,-0.1996,0.078217,104.622251275724,1.29751565059554,16.8981789357496,60.4295742627706,-4.19100348224779,-0.220081375374971,0.193640291948988,0.224731923263943,0.272147550482132,-0.0322121649885826,0.642212164988583
"Gaia EDR3 4477309621453126272",277.689775833333,6.96371666666667,"prisinzano2022","Gaia DR3 4477309621471223168",277.68954020985,6.96367225425,0,0,129,1636148068921376768,4477309621471223168,1388284857,0.04,0.0399,2.589,0.0581,44.5265,9.918,0.438,0.052,-9.909,0.064,-0.0126,-0.2381,0.0624,-0.1215,-0.2232,0.0086,-0.0609,-0.0744,0.4699,0.3159,207,0,206,1,2.3197,409.76,0.264,8.2042,95,FALSE,1.3352,1.3352,0.0127,0.032,-0.013,0.099,0.201,0.176,26,15,0.095552,27,0.08124,79.58,15,7,1.116,0,206,12850.3075,30.877,416.178,15.415083,0.003794,25,6041.76,130.516,46.2912,15.885633,0.02362,25,22697.6,427.043,53.1507,13.857945,0.020774,2.236,0,25,0,25,0,2.027688,0.470551,1.557137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,2e-06,0.999914,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3862495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",277.68953824923,6.96371629226,0.822476,1.024716,0.321,0.857033,36.8160083624811,7.75199735369201,278.837333583264,30.1673986033628,-8.66824672015415,-4.82095673062275,0.0682540380984535,0.0462751151619837,0.0889856057063737,-0.0433225775931926,2.63232257759319
"Gaia DR2 3015833474413015936",85.7239,-7.6552,"kerr2021","Gaia DR3 3015833474413015936",85.72393546646,-7.65520169014,0,0,50,1636148068921376768,3015833474413015936,1542953054,0.0459,0.0434,3.1815,0.0609,52.2655,1.104,-0.467,0.061,-1,0.051,0.3133,-0.1375,-0.4069,-0.2551,-0.2522,-0.2651,-0.5666,0.1974,0.219,0.2654,421,0,420,1,-1.0792,439.76,0,0,31,FALSE,1.216,NA,NA,NA,NA,NA,NA,NA,49,20,0.095163,51,0.01277,79.52,2,0,0.962,0,418,3728.99689,3.47336,1073.6,16.758387,0.002935,49,443.686,7.35574,60.3183,18.720852,0.018215,46,5361.14,11.509,465.822,15.424752,0.00444,1.557,0,2,0,2,0,3.2961,1.962465,1.333634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999985,3371.9,3367.8,3376.1,4.4156,4.408,4.4229,0.3898,0.3846,0.3943,0.31431714,276.8222,274.128,279.6925,1.4245,1.4095,1.4399,0.8663,0.857,0.8757,0.6346,0.6283,0.6409,"MARCS",85.72393756094,-7.6551972439,0.997078,0.835913,0.278,0.126688,212.049084985181,-18.700770718041,85.0531717238234,-31.021080839601,0.692296947245328,-0.859542865036293,0.0465331287362626,0.0644722260358241,0.0725964743610375,-0.0478208711534408,3.22932087115344
"SPICY 43874",253.7149,-42.046831,"kuhn2021","Gaia DR3 5966497893931961216",253.71482892623,-42.04680149298,0,0,86,1636148068921376768,5966497893931961216,1578215996,0.0405,0.026,0.7221,0.0449,16.0666,2.451,-0.875,0.054,-2.29,0.041,0.0563,-0.0929,-0.2643,-0.1703,-0.0933,-0.1333,-0.5067,-0.0686,0.145,0.0576,404,0,401,3,6.1963,616.76,0.211,6.4416,31,FALSE,1.328,NA,NA,NA,NA,NA,NA,NA,46,20,0.075821,48,0.0373,1.179,0,0,1.227,0,418,9969.89202,16.2161,614.814,15.69064,0.003273,44,2676.17,15.6301,171.219,16.769756,0.006928,46,10881,53.8852,201.93,14.656219,0.006572,1.36,0,0,0,0,0,2.113537,1.079116,1.034421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999996,5095.6,5071.8,5236.1,3.5741,3.5272,3.7886,-0.4001,-0.4552,-0.3354,1.3848497,1153.0488,927.299,1214.1569,2.8349,2.8131,2.9441,2.0962,2.0784,2.1851,1.1483,1.1369,1.1963,"MARCS",253.71483416348,-42.04679131671,0.87204,0.675024,0.0686,0.217683,343.373184062579,0.944285458046298,257.251542772951,-19.3255789281336,-2.33064539138887,-0.760142788953367,0.0478989983885291,0.0479863100620967,0.0549209537158066,-0.0393227121991578,0.761422712199158
"SSTGLMA G232.9764-02.2820",110.188230999696,-18.841921999847,"winston2020","Gaia DR3 2931329541894935296",110.18820522342,-18.84189238426,0,0,168,1636148068921376768,2931329541894935296,1671476725,0.1851,0.2196,1.6827,0.31,5.4281,13.314,-0.032,0.251,13.314,0.277,-0.0733,0.0643,-0.0626,0.1473,-0.1376,0.1535,0.0088,0.0719,-0.1697,-0.1489,356,0,356,0,-0.0015,411.26,0.207,0.086755,95,FALSE,1.1196,1.1196,0.071,-0.095,-0.02,-0.026,0.184,0.046,42,20,0.400591,44,0.02219,90.81,0,0,0.999,0,353,330.06792,1.00202,329.401,19.390858,0.004296,32,55.9983,8.10995,6.90489,20.968105,0.157266,40,452.377,7.17825,63.0206,18.109142,0.017638,1.54,0,0,0,0,0,2.858963,1.577248,1.281715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999985,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",110.18820537326,-18.8419515591,4.038889,4.436801,-0.1627,0.138129,232.976447437995,-2.28203005204228,115.443256509904,-40.5145783950312,-11.7768218751673,6.21048198778333,0.28685492350349,0.239675307159096,0.43245752851194,0.000391416684954822,1.68230858331505
"HIP 77081",236.08771,-33.31525,"preibisch2008","Gaia DR3 6015102698785763328",236.08761511383,-33.31539460825,0,0,121,1636148068921376768,6015102698785763328,1301756911,0.0127,0.0095,7.9102,0.0164,482.324,34.793,-19.255,0.017,-28.979,0.012,-0.5375,-0.38,-0.0155,-0.1205,0.3594,0.068,0.4931,-0.151,0.1936,-0.1789,441,441,433,8,-3.8789,625.43,0.057,5.2707,31,FALSE,1.522,NA,NA,NA,NA,NA,NA,NA,50,16,0.023554,63,0.0216,109.6,0,0,0.87,1,515,3056977.62528,870.465,3511.89,9.474136,0.002773,56,1531330,1476.38,1037.22,9.875868,0.00298,54,2179430,1330.22,1638.4,8.90204,0.003837,1.214,0,0,0,0,0,0.973827,0.401731,0.572096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.997667,5383.5,5372.6,5393.3,4.1477,4.1457,4.1498,-0.073,-0.0836,-0.0633,0.12641905,125.5412,125.2875,125.8119,0.138,0.1303,0.1449,0.113,0.1067,0.1187,0.0602,0.0568,0.0633,"MARCS",236.08771752221,-33.3152658105,0.267433,0.187735,-0.1817,0.593715,339.682062048329,16.945196575314,241.389417980067,-13.1829281522077,-33.3055329068933,-10.0637440243604,0.0139383097911901,0.015450680249258,0.0293673440280916,-0.0299826420423035,7.9401826420423
"Gaia EDR3 5611012620583975296",106.419576666667,-26.6624758333333,"prisinzano2022","Gaia DR3 5611012620583975296",106.419721287,-26.66252389036,0,0,1,1636148068921376768,5611012620583975296,106439671,0.1221,0.1713,1.4639,0.2136,6.8539,5.339,-3.908,0.165,3.638,0.233,0.012,0.0234,-0.1502,-0.0362,0.2145,-0.0109,0.0931,0.1246,0.0404,-0.1413,526,0,524,2,1.2894,607.47,0.586,1.2583,95,FALSE,1.2835,1.2835,0.0451,-0.134,-0.119,-0.041,-0.099,0.154,60,26,0.325496,62,0.0185,159.8,0,0,1.04,0,492,443.10231,0.868894,509.962,19.071106,0.003482,52,72.7915,5.54052,13.138,20.68334,0.082688,57,592.684,8.12526,72.9435,17.815836,0.015357,1.502,0,1,0,1,0,2.867504,1.612234,1.25527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999853,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6831068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",106.41974072021,-26.66254006115,2.657941,3.714229,-0.1385,0.496396,238.39200826909,-8.92999795343535,112.56231129273,-48.823712102243,-4.98132064558042,-1.92196582329505,0.231044066137315,0.167727873362588,0.298070673392305,-0.0227165581979908,1.48661655819799
"Gaia EDR3 2015242055934796032",348.559256388889,62.4069022222222,"prisinzano2022","Gaia DR3 2015242055934796032",348.55954970235,62.40671119907,0,0,86,1636148068921376768,2015242055934796032,1328279649,0.1811,0.1506,1.2032,0.2048,5.8743,1.772,-0.818,0.216,-1.572,0.186,0.0247,0.0779,0.0301,-0.163,0.0442,-0.1587,-0.0871,-0.2546,0.084,-0.0581,362,0,360,2,-0.8957,385.6,0.505,0.78334,95,FALSE,1.1761,1.1761,0.044,-0.043,0.041,0.138,-0.042,0.02,43,25,0.303589,48,0.01422,67.6,0,0,0.966,0,390,437.49077,0.956319,457.474,19.084944,0.003637,40,58.474,5.19898,11.2472,20.921135,0.096574,43,595.062,6.60957,90.0303,17.81149,0.012638,1.494,0,0,0,1,0,3.109646,1.836191,1.273455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83111703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",348.55955754954,62.40671818441,3.449232,2.989405,-0.0412,0.843874,111.939008459556,1.62800070620547,30.5768846244261,58.1761383826583,-1.33708740463211,-1.16297260172979,0.208435761899402,0.194439021704533,0.285805586304858,-0.0323963952638682,1.23559639526387
